framework                        , test                                                         , time    
s-js                             , repeatedObservers                                            , 56.03   
s-js                             , triangle                                                     , 55.34   
s-js                             , unstable                                                     , 71.23   
s-js                             , molBench                                                     , 50.84   
s-js                             , cellx1000                                                    , 14.86   
s-js                             , cellx2500                                                    , 53.08   
s-js                             , 2-10x5 - lazy80%                                             , 674.80  
s-js                             , 6-10x10 - dyn25% - lazy80%                                   , 314.60  
s-js                             , 4-1000x12 - dyn5%                                            , 554.09  
s-js                             , 25-1000x5                                                    , 983.78  
s-js                             , 3-5x500                                                      , 210.35  
s-js                             , 6-100x15 - dyn50%                                            , 396.54  
SolidJS                          , createSignals                                                , 9.99    
SolidJS                          , createComputations                                           , 260.37  
SolidJS                          , updateSignals                                                , 1083.78 
SolidJS                          , avoidablePropagation                                         , 375.55  
SolidJS                          , broadPropagation                                             , 479.30  
SolidJS                          , deepPropagation                                              , 177.72  
SolidJS                          , diamond                                                      , 367.97  
SolidJS                          , mux                                                          , 277.63  
SolidJS                          , repeatedObservers                                            , 98.19   
SolidJS                          , triangle                                                     , 128.46  
SolidJS                          , unstable                                                     , 119.82  
SolidJS                          , molBench                                                     , 39.34   
SolidJS                          , cellx1000                                                    , 25.70   
SolidJS                          , cellx2500                                                    , 116.46  
SolidJS                          , 2-10x5 - lazy80%                                             , 1739.16 
SolidJS                          , 6-10x10 - dyn25% - lazy80%                                   , 593.55  
SolidJS                          , 4-1000x12 - dyn5%                                            , 1112.64 
SolidJS                          , 25-1000x5                                                    , 1398.90 
SolidJS                          , 3-5x500                                                      , 484.61  
SolidJS                          , 6-100x15 - dyn50%                                            , 643.94  
Pota                             , createSignals                                                , 22.01   
Pota                             , createComputations                                           , 384.15  
Pota                             , updateSignals                                                , 1160.64 
Pota                             , avoidablePropagation                                         , 373.22  
Pota                             , broadPropagation                                             , 502.70  
Pota                             , deepPropagation                                              , 201.79  
Pota                             , diamond                                                      , 350.13  
Pota                             , mux                                                          , 272.11  
Pota                             , repeatedObservers                                            , 80.98   
Pota                             , triangle                                                     , 99.01   
Pota                             , unstable                                                     , 99.00   
Pota                             , molBench                                                     , 39.11   
Pota                             , cellx1000                                                    , 25.65   
Pota                             , cellx2500                                                    , 106.80  
Pota                             , 2-10x5 - lazy80%                                             , 780.43  
Pota                             , 6-10x10 - dyn25% - lazy80%                                   , 414.74  
Pota                             , 4-1000x12 - dyn5%                                            , 917.80  
Pota                             , 25-1000x5                                                    , 1102.18 
Pota                             , 3-5x500                                                      , 400.27  
Pota                             , 6-100x15 - dyn50%                                            , 518.49  
Svelte v5                        , createSignals                                                , 3.42    
Svelte v5                        , createComputations                                           , 209.72  
Svelte v5                        , updateSignals                                                , 1411.93 
Svelte v5                        , avoidablePropagation                                         , 661.05  
Svelte v5                        , broadPropagation                                             , 338.07  
Svelte v5                        , deepPropagation                                              , 139.71  
Svelte v5                        , diamond                                                      , 470.47  
Svelte v5                        , mux                                                          , 216.44  
Svelte v5                        , repeatedObservers                                            , 82.42   
Svelte v5                        , triangle                                                     , 121.08  
Svelte v5                        , unstable                                                     , 100.34  
Svelte v5                        , molBench                                                     , 33.65   
Svelte v5                        , cellx1000                                                    , 14.85   
Svelte v5                        , cellx2500                                                    , 44.57   
Svelte v5                        , 2-10x5 - lazy80%                                             , 942.69  
Svelte v5                        , 6-10x10 - dyn25% - lazy80%                                   , 285.44  
Svelte v5                        , 4-1000x12 - dyn5%                                            , 824.42  
Svelte v5                        , 25-1000x5                                                    , 923.11  
Svelte v5                        , 3-5x500                                                      , 253.81  
