framework                        , test                                                         , time    
s-js                             , cellx2500                                                    , 16.47   
s-js                             , 2-10x5 - lazy80%                                             , 358.10  
s-js                             , 6-10x10 - dyn25% - lazy80%                                   , 152.14  
s-js                             , 4-1000x12 - dyn5%                                            , 281.26  
s-js                             , 25-1000x5                                                    , 383.62  
s-js                             , 3-5x500                                                      , 92.28   
s-js                             , 6-100x15 - dyn50%                                            , 204.97  
SolidJS                          , createSignals                                                , 3.19    
SolidJS                          , createComputations                                           , 61.77   
SolidJS                          , updateSignals                                                , 491.53  
SolidJS                          , avoidablePropagation                                         , 109.90  
SolidJS                          , broadPropagation                                             , 229.02  
SolidJS                          , deepPropagation                                              , 84.41   
SolidJS                          , diamond                                                      , 142.57  
SolidJS                          , mux                                                          , 110.74  
SolidJS                          , repeatedObservers                                            , 43.56   
SolidJS                          , triangle                                                     , 58.86   
SolidJS                          , unstable                                                     , 56.27   
SolidJS                          , molBench                                                     , 11.50   
SolidJS                          , cellx1000                                                    , 10.29   
SolidJS                          , cellx2500                                                    , 38.93   
SolidJS                          , 2-10x5 - lazy80%                                             , 870.72  
SolidJS                          , 6-10x10 - dyn25% - lazy80%                                   , 324.08  
SolidJS                          , 4-1000x12 - dyn5%                                            , 627.68  
SolidJS                          , 25-1000x5                                                    , 727.55  
SolidJS                          , 3-5x500                                                      , 202.39  
SolidJS                          , 6-100x15 - dyn50%                                            , 350.07  
Pota                             , createSignals                                                , 4.20    
Pota                             , createComputations                                           , 51.40   
Pota                             , updateSignals                                                , 404.33  
Pota                             , avoidablePropagation                                         , 152.00  
Pota                             , broadPropagation                                             , 256.53  
Pota                             , deepPropagation                                              , 91.51   
Pota                             , diamond                                                      , 149.01  
Pota                             , mux                                                          , 117.12  
Pota                             , repeatedObservers                                            , 49.99   
Pota                             , triangle                                                     , 54.47   
Pota                             , unstable                                                     , 61.61   
Pota                             , molBench                                                     , 11.66   
Pota                             , cellx1000                                                    , 13.91   
Pota                             , cellx2500                                                    , 42.39   
Pota                             , 2-10x5 - lazy80%                                             , 410.09  
Pota                             , 6-10x10 - dyn25% - lazy80%                                   , 248.10  
Pota                             , 4-1000x12 - dyn5%                                            , 526.04  
Pota                             , 25-1000x5                                                    , 618.22  
Pota                             , 3-5x500                                                      , 174.45  
Pota                             , 6-100x15 - dyn50%                                            , 328.85  
Svelte v5                        , createSignals                                                , 1.93    
Svelte v5                        , createComputations                                           , 40.76   
Svelte v5                        , updateSignals                                                , 458.62  
Svelte v5                        , avoidablePropagation                                         , 165.40  
Svelte v5                        , broadPropagation                                             , 146.83  
Svelte v5                        , deepPropagation                                              , 58.27   
Svelte v5                        , diamond                                                      , 136.62  
Svelte v5                        , mux                                                          , 75.01   
Svelte v5                        , repeatedObservers                                            , 22.74   
Svelte v5                        , triangle                                                     , 40.86   
Svelte v5                        , unstable                                                     , 39.53   
Svelte v5                        , molBench                                                     , 9.98    
Svelte v5                        , cellx1000                                                    , 5.24    
Svelte v5                        , cellx2500                                                    , 13.84   
Svelte v5                        , 2-10x5 - lazy80%                                             , 397.32  
Svelte v5                        , 6-10x10 - dyn25% - lazy80%                                   , 160.11  
Svelte v5                        , 4-1000x12 - dyn5%                                            , 465.92  
Svelte v5                        , 25-1000x5                                                    , 742.15  
Svelte v5                        , 3-5x500                                                      , 102.24  
Svelte v5                        , 6-100x15 - dyn50%                                            , 188.36  
amadeus-it-group/tansu           , createSignals                                                , 15.50   
amadeus-it-group/tansu           , createComputations                                           , 227.95  
amadeus-it-group/tansu           , updateSignals                                                , 961.18  
amadeus-it-group/tansu           , avoidablePropagation                                         , 109.96  
amadeus-it-group/tansu           , broadPropagation                                             , 239.36  
amadeus-it-group/tansu           , deepPropagation                                              , 70.23   
amadeus-it-group/tansu           , diamond                                                      , 123.78  
amadeus-it-group/tansu           , mux                                                          , 127.50  
amadeus-it-group/tansu           , repeatedObservers                                            , 26.70   
amadeus-it-group/tansu           , triangle                                                     , 39.55   
amadeus-it-group/tansu           , unstable                                                     , 54.39   
amadeus-it-group/tansu           , molBench                                                     , 9.78    
amadeus-it-group/tansu           , cellx1000                                                    , 18.30   
amadeus-it-group/tansu           , cellx2500                                                    , 73.15   
amadeus-it-group/tansu           , 2-10x5 - lazy80%                                             , 357.66  
amadeus-it-group/tansu           , 6-10x10 - dyn25% - lazy80%                                   , 188.44  
amadeus-it-group/tansu           , 4-1000x12 - dyn5%                                            , 486.97  
amadeus-it-group/tansu           , 25-1000x5                                                    , 515.66  
amadeus-it-group/tansu           , 3-5x500                                                      , 152.55  
amadeus-it-group/tansu           , 6-100x15 - dyn50%                                            , 260.74  
Vue                              , createSignals                                                , 3.18    
Vue                              , createComputations                                           , 86.99   
Vue                              , updateSignals                                                , 294.70  
Vue                              , avoidablePropagation                                         , 77.87   
Vue                              , broadPropagation                                             , 96.14   
Vue                              , deepPropagation                                              , 40.46   
Vue                              , diamond                                                      , 67.03   
Vue                              , mux                                                          , 94.19   
Vue                              , repeatedObservers                                            , 12.83   
Vue                              , triangle                                                     , 24.05   
Vue                              , unstable                                                     , 20.85   
Vue                              , molBench                                                     , 19.77   
Vue                              , cellx1000                                                    , 9.65    
Vue                              , cellx2500                                                    , 31.40   
Vue                              , 2-10x5 - lazy80%                                             , 205.86  
Vue                              , 6-10x10 - dyn25% - lazy80%                                   , 144.47  
Vue                              , 4-1000x12 - dyn5%                                            , 442.34  
Vue                              , 25-1000x5                                                    , 504.80  
Vue                              , 3-5x500                                                      , 110.34  
Vue                              , 6-100x15 - dyn50%                                            , 212.28  
x-reactivity                     , createSignals                                                , 2.68    
x-reactivity                     , createComputations                                           , 106.14  
x-reactivity                     , updateSignals                                                , 930.34  
x-reactivity                     , avoidablePropagation                                         , 119.12  
x-reactivity                     , broadPropagation                                             , 302.32  
x-reactivity                     , deepPropagation                                              , 89.11   
x-reactivity                     , diamond                                                      , 182.90  
x-reactivity                     , mux                                                          , 106.53  
x-reactivity                     , repeatedObservers                                            , 36.94   
x-reactivity                     , triangle                                                     , 77.08   
x-reactivity                     , unstable                                                     , 63.12   
x-reactivity                     , molBench                                                     , 11.79   
x-reactivity                     , cellx1000                                                    , 11.14   
x-reactivity                     , cellx2500                                                    , 30.30   
x-reactivity                     , 2-10x5 - lazy80%                                             , 986.22  
x-reactivity                     , 6-10x10 - dyn25% - lazy80%                                   , 253.98  
x-reactivity                     , 4-1000x12 - dyn5%                                            , 434.60  
x-reactivity                     , 25-1000x5                                                    , 529.52  
x-reactivity                     , 3-5x500                                                      , 158.53  
x-reactivity                     , 6-100x15 - dyn50%                                            , 250.93  
