framework              , test                                                         , time    
TC39 Signals Polyfill  , createComputations4to1                                       , 40.67   
TC39 Signals Polyfill  , createComputations1000to1                                    , 39.52   
TC39 Signals Polyfill  , createComputations1to2                                       , 44.25   
TC39 Signals Polyfill  , createComputations1to4                                       , 43.15   
TC39 Signals Polyfill  , createComputations1to8                                       , 42.55   
TC39 Signals Polyfill  , createComputations1to1000                                    , 40.60   
TC39 Signals Polyfill  , updateComputations1to1                                       , 45.75   
TC39 Signals Polyfill  , updateComputations2to1                                       , 39.84   
TC39 Signals Polyfill  , updateComputations4to1                                       , 38.01   
TC39 Signals Polyfill  , updateComputations1000to1                                    , 36.58   
TC39 Signals Polyfill  , updateComputations1to2                                       , 38.90   
TC39 Signals Polyfill  , updateComputations1to4                                       , 38.67   
TC39 Signals Polyfill  , updateComputations1to1000                                    , 37.07   
TC39 Signals Polyfill  , 10x5 - 2 sources - read 20% (simple component)               , 759.39  
TC39 Signals Polyfill  , 10x10 - 6 sources - dynamic - read 20% (dynamic component)   , 381.79  
TC39 Signals Polyfill  , 1000x12 - 4 sources - dynamic (large web app)                , 6695.12 
TC39 Signals Polyfill  , 1000x5 - 25 sources (wide dense)                             , 5003.37 
TC39 Signals Polyfill  , 5x500 - 3 sources (deep)                                     , 283.27  
@reactively            , avoidablePropagation                                         , 240.43  
@reactively            , broadPropagation                                             , 183.88  
@reactively            , deepPropagation                                              , 75.76   
@reactively            , diamond                                                      , 193.05  
@reactively            , mux                                                          , 168.92  
@reactively            , repeatedObservers                                            , 44.09   
@reactively            , triangle                                                     , 54.60   
@reactively            , unstable                                                     , 80.02   
@reactively            , molBench                                                     , 285.64  
@reactively            , createDataSignals                                            , 38.25   
@reactively            , createComputations0to1                                       , 40.92   
@reactively            , createComputations1to1                                       , 38.92   
@reactively            , createComputations2to1                                       , 37.98   
@reactively            , createComputations4to1                                       , 39.64   
@reactively            , createComputations1000to1                                    , 39.50   
@reactively            , createComputations1to2                                       , 40.43   
@reactively            , createComputations1to4                                       , 39.78   
@reactively            , createComputations1to8                                       , 40.00   
@reactively            , createComputations1to1000                                    , 39.93   
@reactively            , updateComputations1to1                                       , 38.27   
@reactively            , updateComputations2to1                                       , 38.17   
@reactively            , updateComputations4to1                                       , 37.00   
@reactively            , updateComputations1000to1                                    , 38.77   
@reactively            , updateComputations1to2                                       , 38.55   
@reactively            , updateComputations1to4                                       , 39.48   
@reactively            , updateComputations1to1000                                    , 38.15   
@reactively            , 10x5 - 2 sources - read 20% (simple component)               , 152.07  
@reactively            , 10x10 - 6 sources - dynamic - read 20% (dynamic component)   , 148.69  
@reactively            , 1000x12 - 4 sources - dynamic (large web app)                , 254.57  
@reactively            , 1000x5 - 25 sources (wide dense)                             , 291.55  
@reactively            , 5x500 - 3 sources (deep)                                     , 140.59  
s-js                   , avoidablePropagation                                         , 264.42  
s-js                   , broadPropagation                                             , 153.13  
s-js                   , deepPropagation                                              , 52.53   
s-js                   , diamond                                                      , 182.12  
s-js                   , mux                                                          , 220.76  
s-js                   , repeatedObservers                                            , 76.38   
s-js                   , triangle                                                     , 55.99   
s-js                   , unstable                                                     , 85.58   
s-js                   , molBench                                                     , 426.22  
s-js                   , createDataSignals                                            , 40.90   
s-js                   , createComputations0to1                                       , 41.15   
s-js                   , createComputations1to1                                       , 44.80   
s-js                   , createComputations2to1                                       , 43.05   
s-js                   , createComputations4to1                                       , 42.47   
s-js                   , createComputations1000to1                                    , 47.29   
s-js                   , createComputations1to2                                       , 40.16   
s-js                   , createComputations1to4                                       , 40.82   
s-js                   , createComputations1to8                                       , 45.71   
s-js                   , createComputations1to1000                                    , 41.77   
s-js                   , updateComputations1to1                                       , 52.97   
s-js                   , updateComputations2to1                                       , 46.79   
s-js                   , updateComputations4to1                                       , 44.75   
s-js                   , updateComputations1000to1                                    , 48.85   
s-js                   , updateComputations1to2                                       , 49.15   
s-js                   , updateComputations1to4                                       , 53.78   
s-js                   , updateComputations1to1000                                    , 49.77   
s-js                   , 10x5 - 2 sources - read 20% (simple component)               , 391.13  
s-js                   , 10x10 - 6 sources - dynamic - read 20% (dynamic component)   , 203.87  
s-js                   , 1000x12 - 4 sources - dynamic (large web app)                , 261.41  
s-js                   , 1000x5 - 25 sources (wide dense)                             , 450.90  
s-js                   , 5x500 - 3 sources (deep)                                     , 151.27  
@amadeus-it-group/tans , avoidablePropagation                                         , 312.65  
@amadeus-it-group/tans , broadPropagation                                             , 326.40  
@amadeus-it-group/tans , deepPropagation                                              , 97.65   
@amadeus-it-group/tans , diamond                                                      , 234.09  
@amadeus-it-group/tans , mux                                                          , 310.37  
@amadeus-it-group/tans , repeatedObservers                                            , 53.57   
@amadeus-it-group/tans , triangle                                                     , 73.56   
@amadeus-it-group/tans , unstable                                                     , 92.35   
@amadeus-it-group/tans , molBench                                                     , 301.52  
@amadeus-it-group/tans , createDataSignals                                            , 39.00   
@amadeus-it-group/tans , createComputations0to1                                       , 42.11   
@amadeus-it-group/tans , createComputations1to1                                       , 46.87   
@amadeus-it-group/tans , createComputations2to1                                       , 45.75   
@amadeus-it-group/tans , createComputations4to1                                       , 42.49   
@amadeus-it-group/tans , createComputations1000to1                                    , 38.12   
@amadeus-it-group/tans , createComputations1to2                                       , 44.16   
@amadeus-it-group/tans , createComputations1to4                                       , 41.69   
@amadeus-it-group/tans , createComputations1to8                                       , 41.91   
@amadeus-it-group/tans , createComputations1to1000                                    , 43.32   
@amadeus-it-group/tans , updateComputations1to1                                       , 38.23   
@amadeus-it-group/tans , updateComputations2to1                                       , 40.60   
@amadeus-it-group/tans , updateComputations4to1                                       , 39.81   
@amadeus-it-group/tans , updateComputations1000to1                                    , 37.23   
@amadeus-it-group/tans , updateComputations1to2                                       , 40.95   
@amadeus-it-group/tans , updateComputations1to4                                       , 38.42   
@amadeus-it-group/tans , updateComputations1to1000                                    , 36.65   
@amadeus-it-group/tans , 10x5 - 2 sources - read 20% (simple component)               , 220.25  
@amadeus-it-group/tans , 10x10 - 6 sources - dynamic - read 20% (dynamic component)   , 199.30  
@amadeus-it-group/tans , 1000x12 - 4 sources - dynamic (large web app)                , 338.67  
