framework                        , test                                                         , time    
Reactively                       , 6-10x10 - dyn25% - lazy80%                                   , 176.58  
Reactively                       , 4-1000x12 - dyn5%                                            , 397.71  
Reactively                       , 25-1000x5                                                    , 384.50  
Reactively                       , 3-5x500                                                      , 135.32  
Reactively                       , 6-100x15 - dyn50%                                            , 246.57  
s-js                             , createSignals                                                , 2.86    
s-js                             , createComputations                                           , 71.11   
s-js                             , updateSignals                                                , 568.89  
s-js                             , avoidablePropagation                                         , 191.88  
s-js                             , broadPropagation                                             , 181.74  
s-js                             , deepPropagation                                              , 54.76   
s-js                             , diamond                                                      , 153.08  
s-js                             , mux                                                          , 169.50  
s-js                             , repeatedObservers                                            , 46.71   
s-js                             , triangle                                                     , 50.94   
s-js                             , unstable                                                     , 71.11   
s-js                             , molBench                                                     , 30.81   
s-js                             , cellx1000                                                    , 10.18   
s-js                             , cellx2500                                                    , 28.82   
s-js                             , 2-10x5 - lazy80%                                             , 867.07  
s-js                             , 6-10x10 - dyn25% - lazy80%                                   , 370.33  
s-js                             , 4-1000x12 - dyn5%                                            , 522.67  
s-js                             , 25-1000x5                                                    , 837.94  
s-js                             , 3-5x500                                                      , 216.51  
s-js                             , 6-100x15 - dyn50%                                            , 454.33  
SolidJS                          , createSignals                                                , 8.31    
SolidJS                          , createComputations                                           , 140.37  
SolidJS                          , updateSignals                                                , 948.85  
SolidJS                          , avoidablePropagation                                         , 279.51  
SolidJS                          , broadPropagation                                             , 483.88  
SolidJS                          , deepPropagation                                              , 172.98  
SolidJS                          , diamond                                                      , 330.97  
SolidJS                          , mux                                                          , 204.69  
SolidJS                          , repeatedObservers                                            , 95.84   
SolidJS                          , triangle                                                     , 122.86  
SolidJS                          , unstable                                                     , 124.85  
SolidJS                          , molBench                                                     , 25.45   
SolidJS                          , cellx1000                                                    , 16.93   
SolidJS                          , cellx2500                                                    , 46.72   
SolidJS                          , 2-10x5 - lazy80%                                             , 1885.42 
SolidJS                          , 6-10x10 - dyn25% - lazy80%                                   , 675.81  
SolidJS                          , 4-1000x12 - dyn5%                                            , 1254.32 
SolidJS                          , 25-1000x5                                                    , 1530.01 
SolidJS                          , 3-5x500                                                      , 425.46  
SolidJS                          , 6-100x15 - dyn50%                                            , 732.43  
Pota                             , createSignals                                                , 8.95    
Pota                             , createComputations                                           , 130.32  
Pota                             , updateSignals                                                , 933.66  
Pota                             , avoidablePropagation                                         , 367.36  
Pota                             , broadPropagation                                             , 511.60  
Pota                             , deepPropagation                                              , 202.96  
Pota                             , diamond                                                      , 332.96  
Pota                             , mux                                                          , 223.63  
Pota                             , repeatedObservers                                            , 103.50  
Pota                             , triangle                                                     , 132.57  
Pota                             , unstable                                                     , 129.30  
Pota                             , molBench                                                     , 24.90   
Pota                             , cellx1000                                                    , 21.98   
Pota                             , cellx2500                                                    , 68.63   
Pota                             , 2-10x5 - lazy80%                                             , 965.83  
Pota                             , 6-10x10 - dyn25% - lazy80%                                   , 540.09  
Pota                             , 4-1000x12 - dyn5%                                            , 1059.95 
Pota                             , 25-1000x5                                                    , 1336.22 
Pota                             , 3-5x500                                                      , 428.27  
Pota                             , 6-100x15 - dyn50%                                            , 697.67  
Svelte v5                        , createSignals                                                , 2.17    
Svelte v5                        , createComputations                                           , 90.41   
Svelte v5                        , updateSignals                                                , 1101.33 
Svelte v5                        , avoidablePropagation                                         , 447.35  
Svelte v5                        , broadPropagation                                             , 295.44  
Svelte v5                        , deepPropagation                                              , 125.89  
Svelte v5                        , diamond                                                      , 341.39  
Svelte v5                        , mux                                                          , 147.79  
Svelte v5                        , repeatedObservers                                            , 59.79   
Svelte v5                        , triangle                                                     , 99.17   
Svelte v5                        , unstable                                                     , 116.15  
Svelte v5                        , molBench                                                     , 22.27   
Svelte v5                        , cellx1000                                                    , 15.14   
Svelte v5                        , cellx2500                                                    , 41.92   
Svelte v5                        , 2-10x5 - lazy80%                                             , 1017.41 
Svelte v5                        , 6-10x10 - dyn25% - lazy80%                                   , 325.69  
Svelte v5                        , 4-1000x12 - dyn5%                                            , 921.90  
Svelte v5                        , 25-1000x5                                                    , 1056.58 
Svelte v5                        , 3-5x500                                                      , 185.77  
Svelte v5                        , 6-100x15 - dyn50%                                            , 386.65  
amadeus-it-group/tansu           , createSignals                                                , 40.50   
amadeus-it-group/tansu           , createComputations                                           , 682.33  
amadeus-it-group/tansu           , updateSignals                                                , 1614.78 
amadeus-it-group/tansu           , avoidablePropagation                                         , 236.37  
amadeus-it-group/tansu           , broadPropagation                                             , 436.76  
amadeus-it-group/tansu           , deepPropagation                                              , 136.30  
amadeus-it-group/tansu           , diamond                                                      , 249.71  
amadeus-it-group/tansu           , mux                                                          , 238.97  
amadeus-it-group/tansu           , repeatedObservers                                            , 54.10   
amadeus-it-group/tansu           , triangle                                                     , 78.71   
amadeus-it-group/tansu           , unstable                                                     , 118.87  
amadeus-it-group/tansu           , molBench                                                     , 20.90   
amadeus-it-group/tansu           , cellx1000                                                    , 36.56   
amadeus-it-group/tansu           , cellx2500                                                    , 184.62  
amadeus-it-group/tansu           , 2-10x5 - lazy80%                                             , 704.26  
amadeus-it-group/tansu           , 6-10x10 - dyn25% - lazy80%                                   , 412.31  
amadeus-it-group/tansu           , 4-1000x12 - dyn5%                                            , 975.72  
amadeus-it-group/tansu           , 25-1000x5                                                    , 1045.82 
amadeus-it-group/tansu           , 3-5x500                                                      , 304.60  
amadeus-it-group/tansu           , 6-100x15 - dyn50%                                            , 546.87  
Vue                              , createSignals                                                , 6.01    
Vue                              , createComputations                                           , 227.35  
Vue                              , updateSignals                                                , 506.11  
Vue                              , avoidablePropagation                                         , 157.30  
Vue                              , broadPropagation                                             , 220.30  
Vue                              , deepPropagation                                              , 92.68   
Vue                              , diamond                                                      , 155.03  
Vue                              , mux                                                          , 162.76  
Vue                              , repeatedObservers                                            , 27.09   
Vue                              , triangle                                                     , 56.97   
Vue                              , unstable                                                     , 45.48   
Vue                              , molBench                                                     , 40.87   
Vue                              , cellx1000                                                    , 20.03   
Vue                              , cellx2500                                                    , 58.89   
Vue                              , 2-10x5 - lazy80%                                             , 463.60  
Vue                              , 6-10x10 - dyn25% - lazy80%                                   , 348.54  
Vue                              , 4-1000x12 - dyn5%                                            , 908.88  
Vue                              , 25-1000x5                                                    , 1091.21 
Vue                              , 3-5x500                                                      , 227.34  
